Main_Source_of_Income,Education_Expenditure,Household_Head_Sex,Household_Head_Age,Total_members_employed
Wage/Salaries,0,Female,53,2
Enterpreneurial Activities,0,Male,31,0
Wage/Salaries,4045,Male,60,1
Other sources of Income,0,Male,76,0
Wage/Salaries,30,Male,68,1
Other sources of Income,14080,Male,85,0
Wage/Salaries,11000,Male,45,1
Other sources of Income,185,Male,62,0
Wage/Salaries,28910,Male,40,1
Other sources of Income,530,Male,67,1
Other sources of Income,1450,Male,57,1
Enterpreneurial Activities,950,Male,52,1
Enterpreneurial Activities,25300,Male,58,1
Enterpreneurial Activities,150,Male,65,0
Wage/Salaries,67900,Male,46,2
Wage/Salaries,950,Male,46,2
Enterpreneurial Activities,300,Male,54,0
Enterpreneurial Activities,630,Male,41,1
Other sources of Income,0,Male,39,0
Other sources of Income,0,Male,74,0
Wage/Salaries,0,Female,62,1
Wage/Salaries,500,Male,52,2
Other sources of Income,750,Male,73,1
Wage/Salaries,1280,Female,64,1
Other sources of Income,0,Female,67,1
Other sources of Income,49075,Male,49,3
Wage/Salaries,1000,Male,48,3
Wage/Salaries,1220,Male,53,2
Wage/Salaries,2079,Male,41,1
Enterpreneurial Activities,1595,Male,42,1
Enterpreneurial Activities,0,Male,54,0
Other sources of Income,0,Male,58,0
Wage/Salaries,14350,Male,55,3
Wage/Salaries,400,Female,69,3
Other sources of Income,77000,Female,18,0
Wage/Salaries,11350,Male,60,4
Other sources of Income,0,Female,66,1
Wage/Salaries,2570,Male,43,2
Wage/Salaries,58000,Female,39,1
Wage/Salaries,73800,Male,52,2
Wage/Salaries,52000,Female,69,1
Wage/Salaries,11600,Female,60,1
Wage/Salaries,4650,Male,44,2
Wage/Salaries,12200,Female,42,1
Wage/Salaries,0,Male,27,2
Enterpreneurial Activities,7000,Male,50,0
Wage/Salaries,2050,Male,62,1
Wage/Salaries,15400,Male,41,1
Other sources of Income,69900,Male,41,1
Wage/Salaries,0,Male,43,1
Other sources of Income,0,Female,32,1
Wage/Salaries,610,Male,25,2
Other sources of Income,2250,Male,78,0
Wage/Salaries,910,Male,35,2
Other sources of Income,460,Female,61,1
Wage/Salaries,1326,Male,32,1
Other sources of Income,0,Female,51,2
Wage/Salaries,490,Female,70,1
Enterpreneurial Activities,0,Female,70,0
Wage/Salaries,710,Male,59,5
Wage/Salaries,500,Male,59,3
Wage/Salaries,250,Male,45,1
Wage/Salaries,2250,Male,55,3
Other sources of Income,3620,Male,52,0
Other sources of Income,1110,Male,35,0
Wage/Salaries,44772,Male,43,3
Other sources of Income,0,Female,78,0
Wage/Salaries,0,Male,58,1
Wage/Salaries,47000,Female,39,1
Wage/Salaries,4300,Male,49,2
Other sources of Income,43600,Male,56,2
Wage/Salaries,83400,Male,60,2
Other sources of Income,0,Female,65,1
Wage/Salaries,9850,Male,50,2
Other sources of Income,0,Male,62,1
Wage/Salaries,12000,Male,56,2
Wage/Salaries,2500,Male,46,4
Enterpreneurial Activities,2750,Male,40,1
Wage/Salaries,0,Male,79,1
Enterpreneurial Activities,5120,Male,42,0
Other sources of Income,1390,Male,56,0
Wage/Salaries,8145,Male,50,3
Wage/Salaries,835,Male,51,2
Wage/Salaries,0,Male,48,3
Other sources of Income,32500,Male,50,0
Enterpreneurial Activities,31246,Female,62,0
Wage/Salaries,4200,Male,53,1
Other sources of Income,40340,Female,46,1
Enterpreneurial Activities,800,Male,75,1
Wage/Salaries,0,Male,51,1
Wage/Salaries,0,Male,20,1
Enterpreneurial Activities,900,Male,30,0
Wage/Salaries,2248,Male,65,1
Enterpreneurial Activities,4575,Male,55,1
Wage/Salaries,1810,Female,68,2
Other sources of Income,0,Male,60,0
Wage/Salaries,19000,Male,51,1
Wage/Salaries,750,Male,64,3
Wage/Salaries,1310,Male,75,4
Wage/Salaries,550,Female,59,1
Wage/Salaries,0,Male,63,4
Wage/Salaries,69650,Male,60,3
Wage/Salaries,17300,Male,65,1
Wage/Salaries,1158,Male,43,2
Enterpreneurial Activities,574,Male,38,0
Wage/Salaries,200,Male,31,1
Wage/Salaries,200,Female,74,2
Wage/Salaries,1140,Male,37,2
Wage/Salaries,11700,Male,49,2
Wage/Salaries,1500,Male,58,2
Other sources of Income,0,Male,67,1
Other sources of Income,0,Male,54,1
Wage/Salaries,3000,Male,54,3
Enterpreneurial Activities,535,Male,39,0
Wage/Salaries,500,Male,66,1
Wage/Salaries,1600,Male,33,1
Wage/Salaries,120,Female,63,2
Other sources of Income,600,Male,55,0
Other sources of Income,0,Female,59,0
Wage/Salaries,790,Male,53,1
Enterpreneurial Activities,1200,Male,39,1
Wage/Salaries,1210,Female,57,2
Enterpreneurial Activities,900,Male,59,1
Other sources of Income,2500,Male,68,0
Enterpreneurial Activities,200,Male,31,0
Wage/Salaries,848,Male,44,1
Enterpreneurial Activities,780,Male,65,1
Other sources of Income,300,Male,63,1
Other sources of Income,40000,Male,65,0
Wage/Salaries,2912,Male,44,1
Other sources of Income,3582,Male,47,0
Enterpreneurial Activities,18350,Male,50,0
Enterpreneurial Activities,650,Male,22,0
Wage/Salaries,4070,Male,48,1
Wage/Salaries,2500,Male,30,2
Wage/Salaries,815,Female,62,3
Wage/Salaries,0,Male,30,2
Wage/Salaries,1025,Male,77,1
Wage/Salaries,1700,Male,32,2
Wage/Salaries,1310,Male,58,4
Other sources of Income,0,Female,78,1
Enterpreneurial Activities,43415,Male,42,0
Other sources of Income,0,Female,78,1
Wage/Salaries,1600,Male,36,2
Wage/Salaries,1520,Male,42,2
Wage/Salaries,48700,Male,37,2
Wage/Salaries,0,Male,59,1
Wage/Salaries,1950,Male,64,1
Wage/Salaries,11000,Male,47,3
Other sources of Income,0,Female,63,0
Wage/Salaries,0,Male,48,1
Wage/Salaries,1920,Male,46,1
Wage/Salaries,64500,Male,53,3
Other sources of Income,0,Female,64,0
Wage/Salaries,1050,Male,66,3
Enterpreneurial Activities,12100,Male,63,0
Wage/Salaries,1025,Male,66,2
Wage/Salaries,550,Male,35,1
Wage/Salaries,0,Male,33,2
Wage/Salaries,146920,Male,42,1
Other sources of Income,0,Male,62,1
Wage/Salaries,13390,Male,54,4
Wage/Salaries,42000,Male,51,1
Other sources of Income,4000,Male,58,1
Other sources of Income,2800,Male,41,2
Wage/Salaries,1800,Male,57,1
Wage/Salaries,1635,Male,35,2
Wage/Salaries,1930,Male,34,2
Other sources of Income,0,Female,57,1
Enterpreneurial Activities,0,Female,60,0
Other sources of Income,105750,Male,63,1
Wage/Salaries,0,Male,47,2
Other sources of Income,0,Female,73,1
Other sources of Income,0,Female,74,0
Wage/Salaries,1520,Male,45,1
Wage/Salaries,0,Male,57,2
Other sources of Income,0,Female,74,0
Wage/Salaries,1290,Male,43,1
Wage/Salaries,0,Male,61,3
Wage/Salaries,1220,Male,31,2
Wage/Salaries,600,Male,34,1
Other sources of Income,0,Female,55,0
Other sources of Income,2520,Male,41,0
Other sources of Income,2200,Female,80,0
Wage/Salaries,0,Male,57,3
Other sources of Income,5000,Female,43,1
Other sources of Income,0,Male,58,2
Wage/Salaries,0,Male,59,2
Other sources of Income,5905,Female,37,0
Wage/Salaries,0,Male,34,2
Wage/Salaries,3651,Male,50,2
Other sources of Income,0,Female,76,1
Wage/Salaries,0,Female,69,2
Wage/Salaries,2825,Male,45,1
Enterpreneurial Activities,4150,Male,45,5
Wage/Salaries,0,Female,54,1
Wage/Salaries,4900,Male,51,2
Other sources of Income,23000,Male,62,2
Other sources of Income,0,Male,27,0
Wage/Salaries,750,Female,65,4
Other sources of Income,800,Male,65,1
Wage/Salaries,0,Male,55,1
Wage/Salaries,2665,Male,32,1
Wage/Salaries,29470,Male,41,1
Wage/Salaries,1550,Male,85,2
Wage/Salaries,62770,Male,50,1
Wage/Salaries,1400,Female,56,4
Wage/Salaries,4600,Male,70,2
Other sources of Income,20000,Female,43,0
Enterpreneurial Activities,3079,Male,37,1
Enterpreneurial Activities,2025,Male,52,0
Enterpreneurial Activities,119700,Male,49,0
Enterpreneurial Activities,1200,Male,57,0
Wage/Salaries,0,Female,53,3
Other sources of Income,20500,Male,45,1
Other sources of Income,2600,Female,65,1
Other sources of Income,14700,Male,22,1
Enterpreneurial Activities,0,Male,58,0
Wage/Salaries,0,Male,39,1
Enterpreneurial Activities,0,Male,58,0
Wage/Salaries,29200,Male,40,3
Wage/Salaries,0,Male,62,1
Other sources of Income,34436,Male,71,5
Enterpreneurial Activities,23903,Male,47,0
Enterpreneurial Activities,0,Male,62,0
Enterpreneurial Activities,6600,Male,43,0
Wage/Salaries,0,Female,74,1
Enterpreneurial Activities,83000,Male,56,0
Wage/Salaries,0,Male,51,2
Wage/Salaries,0,Male,49,1
Enterpreneurial Activities,530,Male,48,0
Wage/Salaries,550,Male,46,0
Other sources of Income,0,Female,69,1
Wage/Salaries,32695,Male,55,4
Enterpreneurial Activities,750,Male,38,0
Other sources of Income,440,Male,64,0
Enterpreneurial Activities,4400,Male,43,2
Enterpreneurial Activities,800,Female,47,1
Enterpreneurial Activities,1300,Male,31,1
Wage/Salaries,0,Male,32,1
Enterpreneurial Activities,20260,Male,34,0
Enterpreneurial Activities,4880,Female,64,0
Other sources of Income,0,Male,63,4
Wage/Salaries,1705,Male,49,1
Enterpreneurial Activities,32620,Male,54,1
Wage/Salaries,0,Female,58,1
Wage/Salaries,1350,Male,43,1
Wage/Salaries,200,Male,34,3
Wage/Salaries,300,Male,31,2
Wage/Salaries,0,Female,76,2
Other sources of Income,248300,Male,62,2
Wage/Salaries,0,Male,66,1
Wage/Salaries,0,Male,42,2
Wage/Salaries,1960,Male,31,2
Other sources of Income,340,Male,89,0
Wage/Salaries,400,Female,63,4
Other sources of Income,0,Male,60,0
Enterpreneurial Activities,128000,Male,51,0
Wage/Salaries,0,Male,58,1
Wage/Salaries,0,Male,24,1
Wage/Salaries,1650,Male,38,1
Wage/Salaries,0,Male,33,2
Other sources of Income,2990,Female,71,0
Wage/Salaries,200,Female,64,1
Enterpreneurial Activities,0,Male,67,0
Other sources of Income,54760,Female,41,0
Other sources of Income,700,Female,74,2
Enterpreneurial Activities,0,Male,46,0
Other sources of Income,300,Female,67,0
Wage/Salaries,5650,Male,38,2
Wage/Salaries,200,Male,60,2
Enterpreneurial Activities,0,Female,61,1
Wage/Salaries,2155,Male,35,1
Wage/Salaries,1800,Male,60,0
Other sources of Income,1250,Male,63,0
Wage/Salaries,2050,Male,49,2
Wage/Salaries,3120,Male,44,1
Enterpreneurial Activities,1935,Male,55,0
Other sources of Income,200,Female,51,1
Wage/Salaries,0,Male,22,1
Enterpreneurial Activities,0,Female,59,0
Wage/Salaries,960,Female,41,5
Enterpreneurial Activities,1510,Female,58,1
Other sources of Income,1060,Male,72,1
Wage/Salaries,1000,Male,72,3
Wage/Salaries,1000,Male,54,3
Wage/Salaries,24500,Male,53,3
Wage/Salaries,8900,Male,54,4
Wage/Salaries,8150,Male,36,1
Wage/Salaries,690,Female,71,1
Enterpreneurial Activities,1400,Male,44,0
Wage/Salaries,5300,Male,42,2
Wage/Salaries,5970,Male,50,2
Wage/Salaries,200,Male,53,1
Wage/Salaries,1290,Male,54,4
Wage/Salaries,0,Male,58,1
Wage/Salaries,460,Male,35,1
Wage/Salaries,0,Male,62,2
Wage/Salaries,2035,Male,42,1
Wage/Salaries,680,Male,56,3
Wage/Salaries,2355,Male,51,1
Enterpreneurial Activities,0,Male,49,1
Wage/Salaries,750,Female,57,2
Wage/Salaries,0,Male,23,1
Other sources of Income,1115,Female,42,1
Other sources of Income,0,Male,74,2
Enterpreneurial Activities,0,Male,58,0
Wage/Salaries,3400,Female,58,1
Enterpreneurial Activities,74700,Male,55,4
Wage/Salaries,0,Male,53,1
Wage/Salaries,6980,Male,37,1
Enterpreneurial Activities,90230,Male,57,0
Wage/Salaries,18000,Male,48,3
Wage/Salaries,9625,Female,59,3
Wage/Salaries,780,Male,31,1
Wage/Salaries,250,Male,24,1
Other sources of Income,0,Male,56,1
Wage/Salaries,7184,Female,72,3
Enterpreneurial Activities,1750,Male,37,1
Wage/Salaries,0,Male,55,1
Wage/Salaries,19600,Male,54,1
Enterpreneurial Activities,950,Male,68,0
Wage/Salaries,2050,Male,55,2
Wage/Salaries,6800,Male,55,1
Enterpreneurial Activities,200,Male,32,0
Enterpreneurial Activities,3200,Male,46,0
Enterpreneurial Activities,1400,Male,41,0
Enterpreneurial Activities,1990,Male,56,0
Enterpreneurial Activities,400,Male,43,0
Enterpreneurial Activities,0,Male,56,1
Other sources of Income,0,Male,79,0
Enterpreneurial Activities,0,Male,52,1
Enterpreneurial Activities,0,Male,63,0
Wage/Salaries,300,Male,51,3
Wage/Salaries,2200,Male,43,2
Wage/Salaries,0,Female,68,1
Wage/Salaries,0,Male,42,1
Wage/Salaries,0,Female,51,3
Wage/Salaries,400,Male,55,1
Wage/Salaries,2050,Male,34,1
Enterpreneurial Activities,0,Male,77,1
Other sources of Income,0,Male,68,0
Wage/Salaries,450,Male,46,1
Other sources of Income,0,Female,66,0
Other sources of Income,0,Female,96,0
Wage/Salaries,0,Male,45,1
Other sources of Income,0,Female,65,0
Wage/Salaries,700,Male,46,4
Wage/Salaries,0,Male,65,2
Wage/Salaries,9650,Male,67,1
Wage/Salaries,300,Male,53,2
Wage/Salaries,3900,Male,61,1
Other sources of Income,0,Female,46,0
Other sources of Income,1226,Male,73,0
Wage/Salaries,1620,Male,48,3
Wage/Salaries,955,Male,53,1
Wage/Salaries,1100,Male,45,1
Wage/Salaries,375,Male,42,1
Wage/Salaries,0,Male,36,3
Wage/Salaries,1600,Male,35,1
Wage/Salaries,2002,Male,44,2
Other sources of Income,0,Female,57,1
Other sources of Income,1785,Female,40,1
Enterpreneurial Activities,350,Male,52,0
Wage/Salaries,1670,Male,48,1
Wage/Salaries,700,Male,63,2
Enterpreneurial Activities,1505,Male,41,0
Enterpreneurial Activities,550,Male,67,1
Other sources of Income,1650,Male,38,1
Enterpreneurial Activities,1400,Male,53,0
Wage/Salaries,850,Male,54,3
Wage/Salaries,0,Male,68,1
Wage/Salaries,10380,Female,52,3
Enterpreneurial Activities,0,Male,79,0
Wage/Salaries,1140,Male,44,1
Enterpreneurial Activities,700,Male,62,1
Wage/Salaries,1390,Male,42,1
Wage/Salaries,1100,Male,35,2
Wage/Salaries,0,Male,39,1
Wage/Salaries,20600,Male,47,2
Wage/Salaries,1445,Male,41,2
Enterpreneurial Activities,2260,Male,38,0
Other sources of Income,0,Female,63,0
Other sources of Income,3750,Male,63,1
Other sources of Income,15590,Female,39,1
Other sources of Income,1367,Female,37,0
Wage/Salaries,0,Male,59,2
Other sources of Income,6798,Female,43,0
Wage/Salaries,1850,Male,34,1
Wage/Salaries,10925,Male,58,1
Enterpreneurial Activities,0,Male,33,0
Wage/Salaries,0,Male,57,1
Wage/Salaries,420,Female,69,1
Wage/Salaries,160,Male,59,1
Other sources of Income,538,Female,53,1
Wage/Salaries,860,Male,59,1
Wage/Salaries,0,Male,46,1
Wage/Salaries,0,Male,48,1
Other sources of Income,7860,Female,65,1
Wage/Salaries,1990,Male,38,1
Wage/Salaries,490,Male,34,2
Wage/Salaries,0,Male,35,1
Wage/Salaries,500,Male,49,2
Wage/Salaries,0,Male,61,2
Wage/Salaries,0,Male,37,1
Wage/Salaries,1720,Female,50,2
Wage/Salaries,0,Male,21,1
Other sources of Income,200,Male,56,1
Wage/Salaries,0,Male,39,1
Wage/Salaries,25120,Female,72,1
Other sources of Income,0,Male,78,0
Other sources of Income,200,Male,66,1
Enterpreneurial Activities,1500,Male,31,2
Wage/Salaries,2600,Male,39,1
Wage/Salaries,0,Male,53,1
Wage/Salaries,0,Male,26,1
Other sources of Income,26768,Female,54,0
Wage/Salaries,0,Male,47,1
Wage/Salaries,1685,Male,37,1
Wage/Salaries,1500,Male,40,1
Wage/Salaries,4643,Male,42,3
Enterpreneurial Activities,0,Male,63,0
Wage/Salaries,600,Male,44,1
Enterpreneurial Activities,800,Male,53,1
Enterpreneurial Activities,800,Male,49,0
Enterpreneurial Activities,300,Male,71,1
Enterpreneurial Activities,100,Male,65,1
Other sources of Income,1620,Male,36,0
Wage/Salaries,800,Male,69,1
Enterpreneurial Activities,1100,Male,57,0
